player_id,x_bin,y_bin,point_count,standard_event_points,freeze_frame_points,density
3026,10,6,1,1,0,0.0007352941176470588
3026,10,7,7,3,4,0.005147058823529412
3026,11,0,3,3,0,0.0022058823529411764
3026,11,1,5,2,3,0.003676470588235294
3026,11,2,9,2,7,0.006617647058823529
3026,11,3,5,3,2,0.003676470588235294
3026,11,4,14,6,8,0.010294117647058823
3026,11,5,2,1,1,0.0014705882352941176
3026,11,6,4,2,2,0.0029411764705882353
3034,0,3,6,2,4,0.010471204188481676
3034,0,4,12,2,10,0.020942408376963352
3034,0,5,5,1,4,0.008726003490401396
3034,0,6,2,0,2,0.0034904013961605585
3034,1,2,1,1,0,0.0017452006980802793
3034,1,3,6,1,5,0.010471204188481676
3034,1,4,13,5,8,0.02268760907504363
3034,1,5,28,7,21,0.04886561954624782
3034,1,6,5,1,4,0.008726003490401396
3034,1,7,2,1,1,0.0034904013961605585
3034,2,1,1,1,0,0.0017452006980802793
3034,2,2,11,10,1,0.019197207678883072
3034,2,3,2,0,2,0.0034904013961605585
3034,2,4,14,5,9,0.02443280977312391
3034,2,5,55,10,45,0.09598603839441536
3034,2,6,15,5,10,0.02617801047120419
3034,2,7,1,0,1,0.0017452006980802793
3034,3,1,2,2,0,0.0034904013961605585
3034,3,2,16,14,2,0.027923211169284468
3034,3,3,9,5,4,0.015706806282722512
3034,3,4,33,11,22,0.05759162303664921
3034,3,5,62,22,40,0.1082024432809773
3034,3,6,13,3,10,0.02268760907504363
3034,3,7,5,5,0,0.008726003490401396
3034,4,1,7,4,3,0.012216404886561954
3034,4,2,12,7,5,0.020942408376963352
3034,4,3,13,8,5,0.02268760907504363
3034,4,4,20,5,15,0.034904013961605584
3034,4,5,48,14,34,0.08376963350785341
3034,4,6,20,11,9,0.034904013961605584
3034,4,7,5,5,0,0.008726003490401396
3034,5,0,1,0,1,0.0017452006980802793
3034,5,1,2,2,0,0.0034904013961605585
3034,5,2,9,1,8,0.015706806282722512
3034,5,3,9,3,6,0.015706806282722512
3034,5,4,16,6,10,0.027923211169284468
3034,5,5,27,9,18,0.04712041884816754
3034,5,6,11,4,7,0.019197207678883072
3034,5,7,4,3,1,0.006980802792321117
3034,6,3,2,2,0,0.0034904013961605585
3034,6,4,2,2,0,0.0034904013961605585
3034,6,5,13,3,10,0.02268760907504363
3034,6,6,6,2,4,0.010471204188481676
3034,6,7,2,2,0,0.0034904013961605585
3034,7,4,3,2,1,0.005235602094240838
3034,7,5,1,1,0,0.0017452006980802793
3034,7,6,1,1,0,0.0017452006980802793
