team,defensive_style,actual_style,optimal_style,possessions,wasted_net_xg,mean_eva_gap
Mexico,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,5,0.01449353978635607,0.002898707957271214
Mexico,Compact Pressure Block,Patient Build-up,Patient Build-up,27,0.0,0.0
Mexico,High-Intensity Press,Patient Build-up,Patient Build-up,1,0.0,0.0
Mexico,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,4,0.0,0.0
Mexico,Wide Retreating Block,Patient Build-up,Patient Build-up,104,0.0,0.0
Morocco,Wide Retreating Block,Short Under Pressure,Patient Build-up,61,0.4428687275252878,0.007260143074185045
Morocco,Compact Pressure Block,Short Under Pressure,Patient Build-up,54,0.39204772600599247,0.007260143074185045
Morocco,High-Intensity Press,Short Under Pressure,Patient Build-up,38,0.2758854368190317,0.007260143074185045
Morocco,Wide Retreating Block,Direct Long Play,Patient Build-up,35,0.21739827125335817,0.006211379178667376
Morocco,Compact Pressure Block,Direct Long Play,Patient Build-up,24,0.14907310028801704,0.006211379178667376
Morocco,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,14,0.10164200303859064,0.007260143074185045
Morocco,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,8,0.04969103342933901,0.006211379178667376
Morocco,High-Intensity Press,Direct Long Play,Patient Build-up,5,0.031056895893336885,0.006211379178667377
Morocco,Compact Pressure Block,Patient Build-up,Patient Build-up,76,0.0,0.0
Morocco,High-Intensity Press,Patient Build-up,Patient Build-up,1,0.0,0.0
Morocco,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,4,0.0,0.0
Morocco,Wide Retreating Block,Patient Build-up,Patient Build-up,156,0.0,0.0
Netherlands,Compact Pressure Block,Short Under Pressure,Patient Build-up,41,0.23021106899805743,0.00561490412190384
Netherlands,Wide Retreating Block,Short Under Pressure,Patient Build-up,34,0.19090674014473055,0.00561490412190384
Netherlands,Compact Pressure Block,Direct Long Play,Patient Build-up,15,0.12396341831913182,0.008264227887942122
Netherlands,High-Intensity Press,Short Under Pressure,Patient Build-up,21,0.11791298655998063,0.00561490412190384
Netherlands,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,10,0.08264227887942122,0.008264227887942122
Netherlands,Wide Retreating Block,Direct Long Play,Patient Build-up,10,0.08264227887942122,0.008264227887942122
Netherlands,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,14,0.07860865770665376,0.00561490412190384
Netherlands,High-Intensity Press,Direct Long Play,Patient Build-up,4,0.033056911551768486,0.008264227887942122
Netherlands,Compact Pressure Block,Patient Build-up,Patient Build-up,55,0.0,0.0
Netherlands,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,2,0.0,0.0
Netherlands,Wide Retreating Block,Patient Build-up,Patient Build-up,165,0.0,0.0
Poland,Wide Retreating Block,Direct Long Play,Patient Build-up,22,0.15265746302145403,0.006938975591884274
Poland,Compact Pressure Block,Direct Long Play,Patient Build-up,15,0.1040846338782641,0.006938975591884273
Poland,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,13,0.09020668269449555,0.006938975591884273
Poland,Compact Pressure Block,Short Under Pressure,Patient Build-up,32,0.06557668613410622,0.0020492714416908194
Poland,Wide Retreating Block,Short Under Pressure,Patient Build-up,27,0.05533032892565212,0.0020492714416908194
Poland,High-Intensity Press,Short Under Pressure,Patient Build-up,25,0.05123178604227049,0.0020492714416908194
Poland,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,20,0.04098542883381639,0.0020492714416908194
Poland,High-Intensity Press,Direct Long Play,Patient Build-up,4,0.02775590236753709,0.0069389755918842725
Poland,Compact Pressure Block,Patient Build-up,Patient Build-up,27,0.0,0.0
Poland,High-Intensity Press,Patient Build-up,Patient Build-up,1,0.0,0.0
Poland,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,3,0.0,0.0
Poland,Wide Retreating Block,Patient Build-up,Patient Build-up,90,0.0,0.0
Portugal,Wide Retreating Block,Short Under Pressure,Patient Build-up,50,0.21586959400751898,0.00431739188015038
Portugal,Compact Pressure Block,Short Under Pressure,Patient Build-up,46,0.1986000264869175,0.00431739188015038
Portugal,Wide Retreating Block,Direct Long Play,Patient Build-up,14,0.11746469932284562,0.008390335665917544
Portugal,High-Intensity Press,Short Under Pressure,Patient Build-up,27,0.11656958076406025,0.00431739188015038
Portugal,Compact Pressure Block,Direct Long Play,Patient Build-up,11,0.09229369232509299,0.008390335665917544
Portugal,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,15,0.0647608782022557,0.004317391880150381
Portugal,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,6,0.050342013995505266,0.008390335665917544
Portugal,High-Intensity Press,Direct Long Play,Patient Build-up,2,0.01678067133183509,0.008390335665917546
Portugal,Compact Pressure Block,Patient Build-up,Patient Build-up,50,0.0,0.0
Portugal,High-Intensity Press,Patient Build-up,Patient Build-up,1,0.0,0.0
Portugal,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,2,0.0,0.0
Portugal,Wide Retreating Block,Patient Build-up,Patient Build-up,184,0.0,0.0
Qatar,Wide Retreating Block,Short Under Pressure,Patient Build-up,39,0.35807277150131733,0.009181353115418393
Qatar,Compact Pressure Block,Short Under Pressure,Patient Build-up,23,0.21117112165462304,0.009181353115418393
Qatar,High-Intensity Press,Short Under Pressure,Patient Build-up,16,0.1469016498466943,0.009181353115418393
Qatar,Wide Retreating Block,Direct Long Play,Patient Build-up,12,0.07502611600100394,0.0062521763334169944
Qatar,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,5,0.04590676557709196,0.009181353115418392
Qatar,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,5,0.03126088166708497,0.006252176333416994
Qatar,Compact Pressure Block,Direct Long Play,Patient Build-up,2,0.012504352666833987,0.006252176333416994
Qatar,High-Intensity Press,Direct Long Play,Patient Build-up,1,0.006252176333416995,0.006252176333416995
Qatar,Compact Pressure Block,Patient Build-up,Patient Build-up,25,0.0,0.0
Qatar,High-Intensity Press,Patient Build-up,Patient Build-up,1,0.0,0.0
Qatar,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,2,0.0,0.0
Qatar,Wide Retreating Block,Patient Build-up,Patient Build-up,100,0.0,0.0
Saudi Arabia,Compact Pressure Block,Short Under Pressure,Patient Build-up,26,0.20023592163112558,0.007701381601197137
Saudi Arabia,Wide Retreating Block,Short Under Pressure,Patient Build-up,18,0.13862486882154848,0.007701381601197137
Saudi Arabia,High-Intensity Press,Short Under Pressure,Patient Build-up,17,0.13092348722035133,0.0077013816011971365
Saudi Arabia,Wide Retreating Block,Direct Long Play,Patient Build-up,18,0.1302922989725047,0.007238461054028038
