player_name,team,position,minutes,vaep_off_p90,vaep_def_p90,vaep_per_touch,xt_p90,final_player_rating,team_rank
Thomas Teye Partey,Ghana,Right Defensive Midfield,301.20000000000005,0.0190449628255836,-0.097045626209575,-0.0005294974039048504,0.04425231425431477,-0.00021037410977857267,2
Lawrence Ati-Zigi,Ghana,Goalkeeper,301.20000000000005,-0.0024573287224353927,-0.1164535472703591,-0.0032093150402356368,0.006550424353570293,-0.05543340211098492,3
Daniel Amartey,Ghana,Right Center Back,301.20000000000005,-0.004785219372057196,-0.2336329577524139,-0.0021565031516483694,0.011822268096985658,-0.06301345912541585,4
Mehdi Taremi,Iran,Center Forward,305.1,0.3614757333299733,0.050170877230680574,0.00468282553624368,0.05264643652418434,0.22467484158005235,1
Morteza Pouraliganji,Iran,Right Center Back,305.1,0.10946311002012045,-0.05522894751689888,0.0006211277394794632,0.00856712736479117,0.01050704588832661,2
Seyed Majid Hosseini,Iran,Left Center Back,305.1,-0.0021531230118949853,-0.08233175702272175,-0.0011502158366158664,0.009670333082511626,-0.02462169878820939,3
Daichi Kamada,Japan,Center Attacking Midfield,337.2166666666667,0.1657481933201983,0.008149469138454234,0.00182512262917622,0.022768011366401008,0.14617254662962467,1
Junya Ito,Japan,Right Wing Back,346.33333333333337,0.16861996541439628,-0.04725849744858206,0.0015724475023878412,0.05444136770407045,0.07437703271732121,2
Wataru Endo,Japan,Right Defensive Midfield,326.01666666666665,0.027122186148619602,-0.04062503336303388,-9.609590131745533e-05,0.0381878032473789,0.014827090467243806,3
Maya Yoshida,Japan,Center Back,412.51666666666665,-0.0968076585822333,-0.03235908903064794,-0.0010172477313753416,0.006336661155149225,-0.04033595172068071,4
Shūichi Gonda,Japan,Goalkeeper,412.51666666666665,0.006832827008366583,-0.16902187941318972,-0.0035065873830116855,0.006509326233187847,-0.06859200606884983,5
Youssef En-Nesyri,Morocco,Center Forward,553.8166666666667,0.2222265161913943,0.006013193296167627,0.004574844556980454,-0.00014909566353367177,0.15630756297247625,1
Sofiane Boufal,Morocco,Left Midfield,476.66666666666663,0.19235691459165843,0.012571592479508691,0.0020401543101626913,0.07933707322237821,0.1268106080358943,2
Hakim Ziyech,Morocco,Right Wing,662.6333333333333,0.09877253002284586,-0.014738705152673946,0.0006404832469113364,0.07147496435005447,0.1034082890228993,3
Azzedine Ounahi,Morocco,Right Center Midfield,589.25,0.13702051925457506,5.381027587061597e-06,0.0010567008472878421,0.03625565614830999,0.09741225929980628,4
Yahia Attiyat allah,Morocco,Left Back,350.18333333333334,0.17371898672438493,-0.008660785764178473,0.0018669454459382525,0.03284632676597833,0.08385194935935325,5
Selim Amallah,Morocco,Left Center Midfield,423.7,0.06964925672287703,-0.024647157148435864,0.0006559129545817241,0.006398065947404815,0.07178707798984167,6
Noussair Mazraoui,Morocco,Left Back,376.8333333333333,0.0499142570092758,-0.004075607676601696,0.0006171322266355612,0.01814543102300778,0.049046547460972534,7
Achraf Hakimi Mouh,Morocco,Right Back,660.8,0.04858509502334526,-0.08774293160433101,-0.0002863600975289441,0.0544984469482119,0.01803730512246625,8
