layout,target,model,architecture,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,recall_at_5pct,lift_at_5pct,recall_at_10pct,lift_at_10pct,recall_at_20pct,lift_at_20pct,pr_lift_over_prevalence,pr_rank
Rest-Defense Player-Aware,transition_final_third_15,XGBoost: Weighted,Direct,9685,0.07640681466184822,0.3205516056168323,0.08531030808358962,0.5572470653996646,0.09173975175372186,0.10827952919063429,0.06486486486486487,1.2952911674561158,0.13378378378378378,1.337147519036064,0.26216216216216215,1.3108108108108107,1.2006749942362112,9.0
Rest-Defense Player-Aware,transition_final_third_15,Soft Vote: Weighted,Direct,9685,0.07640681466184822,0.34545591239756857,0.09504275029982989,0.556655235447857,0.09145116815969541,0.1362018061111412,0.06756756756756757,1.3492616327667872,0.11891891891891893,1.1885755724765013,0.2527027027027027,1.2635135135135136,1.1968980589549325,10.0
Rest-Defense Player-Aware,transition_final_third_15,XGBoost,Direct,9685,0.07640681466184822,0.2718876944109388,0.07077647388439097,0.5597769401598356,0.09129581902156934,0.01533909929597969,0.07027027027027027,1.4032320980774589,0.12972972972972974,1.2966278972470924,0.2689189189189189,1.3445945945945945,1.1948648746268906,11.0
Rest-Defense Player-Aware,transition_final_third_15,Gradient Boosting,Direct,9685,0.07640681466184822,0.27003086068847537,0.07065312893520624,0.5556074660462587,0.09096518727711977,0.0072783706989840964,0.05945945945945946,1.1873502368347728,0.12702702702702703,1.2696148160544447,0.2635135135135135,1.3175675675675675,1.1905376199714932,12.0
Enhanced History,transition_final_third_15,Random Forest,Direct,9685,0.07640681466184822,0.2759884878133586,0.0714803720699445,0.5463114679799979,0.09092999161658812,0.01914245264535292,0.07432432432432433,1.4841877960434662,0.13648648648648648,1.3641606002287117,0.2581081081081081,1.2905405405405406,1.1900769848738593,13.0
Rest-Defense Player-Aware,transition_final_third_15,Histogram Gradient Boosting,Direct,9685,0.07640681466184822,0.2759134240126816,0.07122508968580894,0.5481220823954195,0.08852226939146488,0.02137811626546926,0.05540540540540541,1.1063945388687657,0.13918918918918918,1.3911736814213596,0.25675675675675674,1.2837837837837838,1.1585651068328882,14.0
Enhanced History,transition_final_third_15,Logistic Regression,Direct,9685,0.07640681466184822,0.27279134770060975,0.07106105887305972,0.5499066366534225,0.08840862927821962,0.018079362556126247,0.06621621621621622,1.3222764001114518,0.13513513513513514,1.3506540596323877,0.23513513513513515,1.1756756756756757,1.1570778034588607,15.0
Enhanced History,transition_final_third_15,Histogram Gradient Boosting,Direct,9685,0.07640681466184822,0.27595515186159947,0.07138508957170667,0.5437253939238288,0.08812652394222915,0.02094241493736969,0.07027027027027027,1.4032320980774589,0.12297297297297298,1.2290951942654729,0.2527027027027027,1.2635135135135136,1.1533856545682288,16.0
Enhanced History,transition_final_third_15,Logistic Regression: Weighted,Direct,9685,0.07640681466184822,0.3442254132756107,0.09406572264986046,0.5482661308597585,0.08809144342513195,0.135318365070882,0.06621621621621622,1.3222764001114518,0.13783783783783785,1.3776671408250354,0.22972972972972974,1.1486486486486487,1.1529265264491932,17.0
Rest-Defense Player-Aware,transition_final_third_15,Logistic Regression,Direct,9685,0.07640681466184822,0.319133864557243,0.08290384860482833,0.5264535524904446,0.08803448270054112,0.06011978262854743,0.06756756756756757,1.3492616327667872,0.12162162162162163,1.2155886536691491,0.23783783783783785,1.1891891891891893,1.1521810337226226,18.0
Rest-Defense Player-Aware,transition_final_third_15,Logistic Regression: Weighted,Direct,9685,0.07640681466184822,0.47462573305331807,0.14641918675818202,0.52868490625897,0.08766025394107059,0.18121611355908937,0.07027027027027027,1.4032320980774589,0.11621621621621622,1.1615624912838536,0.23783783783783785,1.1891891891891893,1.147283188404417,19.0
Rest-Defense Player-Aware,transition_final_third_15,Random Forest,Direct,9685,0.07640681466184822,0.2763521984024762,0.07169805259402132,0.5370771833879715,0.08718048945484802,0.021199482132312788,0.06351351351351352,1.2683059348007801,0.12162162162162163,1.2155886536691491,0.26216216216216215,1.3108108108108107,1.1410041086083826,20.0
