layout,timing,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Tactical + Shape,Retrospective,box_entry,Histogram Gradient Boosting,2,13,1945,0.3038560411311054,0.3445597767026161,0.10857030734632515,0.9072573086699309,0.8326283972885543,0.014199769776279523
Tactical + Shape,Retrospective,box_entry,XGBoost,2,13,1945,0.3038560411311054,0.3463504910469055,0.10899694263935089,0.9071148467784866,0.8286119246487765,0.014896540642550797
Tactical + Shape,Retrospective,box_entry,Logistic Regression,3,13,1975,0.30278481012658226,0.36744773223554905,0.11749673139043246,0.8950702292560776,0.7963093664313715,0.02332931539820764
Tactical + Shape,Retrospective,box_entry,Random Forest,3,13,1975,0.30278481012658226,0.37178919236105373,0.11806028140012143,0.8918884784187426,0.7995606544641578,0.023084549509799313
Tactical + Shape,Retrospective,box_entry,Gradient Boosting,3,13,1975,0.30278481012658226,0.379332364269977,0.12102718937100038,0.8880655197790749,0.7906764095778029,0.015870246460213917
Tactical + Shape,Retrospective,box_entry,Histogram Gradient Boosting,3,13,1975,0.30278481012658226,0.3612752360865021,0.11678289826514468,0.8980236712547028,0.8068605533851362,0.019186878814049277
Tactical + Shape,Retrospective,box_entry,XGBoost,3,13,1975,0.30278481012658226,0.3591427803039551,0.11555450409650803,0.8987681037979418,0.8117273568007061,0.015337979401214218
Tactical + Shape,Retrospective,box_entry,Logistic Regression,4,13,1934,0.3247156153050672,0.3687131081878971,0.1151257723869585,0.8995022970903521,0.8348862486286841,0.025700629963847855
Tactical + Shape,Retrospective,box_entry,Random Forest,4,13,1934,0.3247156153050672,0.3657649681370285,0.116253872797112,0.901027594346524,0.8296369266983641,0.01734578433065912
Tactical + Shape,Retrospective,box_entry,Gradient Boosting,4,13,1934,0.3247156153050672,0.3722438856266976,0.1165882311542334,0.897612440378069,0.832086533589798,0.035310443193376055
Tactical + Shape,Retrospective,box_entry,Histogram Gradient Boosting,4,13,1934,0.3247156153050672,0.3548824908641111,0.11219617066909865,0.9070946440241512,0.8405642607066034,0.025262986200220095
Tactical + Shape,Retrospective,box_entry,XGBoost,4,13,1934,0.3247156153050672,0.35703545808792114,0.11231349408626556,0.9056802996459261,0.8397074295721785,0.019018746943298765
Tactical + Shape,Retrospective,box_entry,Soft Vote: All,0,12,1865,0.33351206434316355,0.3613405958489642,0.11505976696516532,0.9052067785385944,0.8474188653250628,0.026132976531716177
Tactical + Shape,Retrospective,box_entry,Soft Vote: All,1,13,1966,0.3158697863682604,0.356127270753448,0.11327750513882245,0.9057917138085232,0.8312798129465327,0.023422392574472484
Tactical + Shape,Retrospective,box_entry,Soft Vote: All,2,13,1945,0.3038560411311054,0.34562009027257207,0.10882674929224706,0.9087094202300884,0.8309379071254333,0.02365262050698881
Tactical + Shape,Retrospective,box_entry,Soft Vote: All,3,13,1975,0.30278481012658226,0.3596796607406782,0.11503490022209654,0.8995635415072754,0.8099066839957177,0.012144532114749727
Tactical + Shape,Retrospective,box_entry,Soft Vote: All,4,13,1934,0.3247156153050672,0.3562457008091389,0.11192784503091817,0.9069215087640581,0.8437030510634925,0.025110486501411934
Tactical + Shape,Retrospective,box_entry,Soft Vote: Boosting,0,12,1865,0.33351206434316355,0.3635902875581899,0.11569980880804481,0.9038564514334939,0.8449697912095431,0.029379670997455393
Tactical + Shape,Retrospective,box_entry,Soft Vote: Boosting,1,13,1966,0.3158697863682604,0.35781529318448996,0.11357769692964752,0.9045573454495388,0.8292983198711142,0.02461172413484598
Tactical + Shape,Retrospective,box_entry,Soft Vote: Boosting,2,13,1945,0.3038560411311054,0.3468449605278009,0.10885381238950481,0.9075397331213901,0.8291905882641843,0.018972638955692803
Tactical + Shape,Retrospective,box_entry,Soft Vote: Boosting,3,13,1975,0.30278481012658226,0.3627584677716536,0.1164109633027294,0.8975245492722048,0.8074557532911724,0.021269327183743254
Tactical + Shape,Retrospective,box_entry,Soft Vote: Boosting,4,13,1934,0.3247156153050672,0.3576675770699743,0.1123942537551291,0.9057985680982433,0.8412614764613408,0.02622846455982344
Tactical + Shape,Retrospective,box_entry,Soft Vote: LR + XGB,0,12,1865,0.33351206434316355,0.36405883643631864,0.11561603569549168,0.9034076358152276,0.8427824299735928,0.028327764294515057
Tactical + Shape,Retrospective,box_entry,Soft Vote: LR + XGB,1,13,1966,0.3158697863682604,0.35797653362411913,0.11438555097643385,0.9038126537722464,0.8266806143314709,0.017942824685631412
Tactical + Shape,Retrospective,box_entry,Soft Vote: LR + XGB,2,13,1945,0.3038560411311054,0.3464694961059336,0.1092404457367595,0.9077571749556994,0.8284316106229322,0.020252124899360725
Tactical + Shape,Retrospective,box_entry,Soft Vote: LR + XGB,3,13,1975,0.30278481012658226,0.3574030728404282,0.11443945889594581,0.900522924393342,0.8113950155108064,0.013412133169080668
Tactical + Shape,Retrospective,box_entry,Soft Vote: LR + XGB,4,13,1934,0.3247156153050672,0.3572326594962066,0.1118391705668778,0.9059302484369056,0.842969247223064,0.022172128115376867
Player-Aware,Retrospective,shot,Logistic Regression,0,12,1865,0.13083109919571045,0.29549389957372496,0.09319210965458893,0.8564714151353646,0.44995590878531877,0.031406133813366044
Player-Aware,Retrospective,shot,Random Forest,0,12,1865,0.13083109919571045,0.2689009944146755,0.08480746738278379,0.8798505274016242,0.4885279549354116,0.01927233480024724
Player-Aware,Retrospective,shot,Gradient Boosting,0,12,1865,0.13083109919571045,0.271362353264107,0.08516455064257467,0.8813548608933971,0.4841629607398963,0.026832139980818112
Player-Aware,Retrospective,shot,Histogram Gradient Boosting,0,12,1865,0.13083109919571045,0.2698209651879027,0.08665560850423801,0.8796988299066555,0.47537647808653527,0.019445290002889068
Player-Aware,Retrospective,shot,XGBoost,0,12,1865,0.13083109919571045,0.2662813067436218,0.08530590683221817,0.8818428211688798,0.49186626487547613,0.016680887091814995
Player-Aware,Retrospective,shot,Logistic Regression,1,13,1966,0.12054933875890132,0.2608752529202609,0.08185018770890068,0.8739082369995095,0.4913228522791045,0.024895828027110104
Player-Aware,Retrospective,shot,Random Forest,1,13,1966,0.12054933875890132,0.2694549981119818,0.08172908349523636,0.85666942429101,0.48217210679586175,0.014778186031949445
Player-Aware,Retrospective,shot,Gradient Boosting,1,13,1966,0.12054933875890132,0.2557913205938888,0.07806884968776721,0.8795088988293518,0.5182578799255828,0.013307633303204586
Player-Aware,Retrospective,shot,Histogram Gradient Boosting,1,13,1966,0.12054933875890132,0.25034929475106116,0.07818326964796082,0.8846727334402218,0.5112030486642757,0.01593283453481562
Player-Aware,Retrospective,shot,XGBoost,1,13,1966,0.12054933875890132,0.25049325823783875,0.07835309952497482,0.8840650799345003,0.4983814679543038,0.011198071220042688
Player-Aware,Retrospective,shot,Logistic Regression,2,13,1945,0.119280205655527,0.2603765891463877,0.08086791040776252,0.8710570284034865,0.4947163483279544,0.01994247918742392
Player-Aware,Retrospective,shot,Random Forest,2,13,1945,0.119280205655527,0.258215815734673,0.07809803511488174,0.8688653702920869,0.5177983638828484,0.014773868156065571
Player-Aware,Retrospective,shot,Gradient Boosting,2,13,1945,0.119280205655527,0.250816760301591,0.07647966111778641,0.8827022565774907,0.5304248459970271,0.016975203325359157
