layout,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Player-Aware,shot,Histogram Gradient Boosting,1,13,1966,0.12054933875890132,0.2541573213177079,0.07954556283332587,0.8807266462163197,0.4949049108842334,0.022148405773241134
Player-Aware,shot,XGBoost,1,13,1966,0.12054933875890132,0.2508946657180786,0.07834115624427795,0.8831060123531809,0.5012267735166825,0.014987508511494765
Player-Aware,shot,Logistic Regression,2,13,1945,0.119280205655527,0.2555125440143795,0.07907234770060158,0.8748288946595004,0.5011869171604056,0.01542608475151331
Player-Aware,shot,Random Forest,2,13,1945,0.119280205655527,0.2581911788221846,0.07828072896515526,0.8695195965939972,0.5113050314371153,0.013452751168888293
Player-Aware,shot,Gradient Boosting,2,13,1945,0.119280205655527,0.2515855814989435,0.0768054441337192,0.8818190510699115,0.5294691961601619,0.01881633477145569
Player-Aware,shot,Histogram Gradient Boosting,2,13,1945,0.119280205655527,0.25304799920840915,0.07815165673171517,0.880243875435312,0.503955402987648,0.018950914085216385
Player-Aware,shot,XGBoost,2,13,1945,0.119280205655527,0.24600446224212646,0.07566512376070023,0.8851782515047205,0.5257495778772755,0.011525958841594757
Player-Aware,shot,Logistic Regression,3,13,1975,0.13063291139240507,0.27898146621903036,0.08734989592432736,0.8657971132270545,0.5020821760947234,0.025698102379080334
Player-Aware,shot,Random Forest,3,13,1975,0.13063291139240507,0.266075904675905,0.08152937809935619,0.8812287521501807,0.5422900990969377,0.01882311166974013
Player-Aware,shot,Gradient Boosting,3,13,1975,0.13063291139240507,0.26447371024599886,0.08214166152762677,0.887321495487442,0.5398202898550817,0.027454946583747933
Player-Aware,shot,Histogram Gradient Boosting,3,13,1975,0.13063291139240507,0.2589774879569893,0.08063476984631954,0.8908024181351105,0.5439364847359617,0.023327138131327748
Player-Aware,shot,XGBoost,3,13,1975,0.13063291139240507,0.25354063510894775,0.0788995623588562,0.893080142487573,0.5645320912669318,0.014949267797077762
Player-Aware,shot,Logistic Regression,4,13,1934,0.12202688728024819,0.2732843878042773,0.08608069447935295,0.861736639316444,0.44971975134828046,0.027623935692826458
Player-Aware,shot,Random Forest,4,13,1934,0.12202688728024819,0.26172573644751246,0.0818291548396408,0.874318739893394,0.4727018661194155,0.02280785333451263
Player-Aware,shot,Gradient Boosting,4,13,1934,0.12202688728024819,0.2574447634137075,0.07972157827191043,0.883210057694995,0.5071680727909512,0.025809937186498825
Player-Aware,shot,Histogram Gradient Boosting,4,13,1934,0.12202688728024819,0.2638567500272165,0.08387092221511595,0.8763749975045417,0.46961002118357303,0.030025012292903372
