team,player,matches_with_defensive_action,defensive_actions,pressure_actions,counterpress_actions,duels,interceptions,blocks,clearances,ball_recoveries,fouls_committed,fifty_fifties,actor_frame_count,avg_actor_x_when_acting,avg_actor_y_when_acting,avg_actor_distance_from_centroid_when_acting,avg_back_line_height_when_acting,avg_defensive_hull_area_when_acting,avg_defenders_behind_ball_when_acting,avg_defenders_within_5_when_acting,avg_defenders_within_10_when_acting,avg_visible_area_when_acting,player_role_cluster,defensive_player_role
Denmark,Andreas Christensen,3,38,9,1,3,5,6,11,2,1,1,53,88.53785850962427,46.94476578412847,8.467408320633766,29.672532612768865,386.9108541136469,2.39622641509434,1.6415094339622642,3.150943396226415,2274.286797207912,0,Deep Stopper
Netherlands,Steven Berghuis,4,38,29,3,3,0,1,1,2,2,0,47,66.76025879194086,36.18877796080699,9.782217656448072,40.44436261698991,585.8431326166325,5.531914893617022,1.2340425531914894,2.3191489361702127,2905.6820677791484,1,Pressing Disruptor
Denmark,Rasmus Nissen Kristensen,3,38,17,2,7,3,1,7,1,2,0,47,78.02973728138309,22.15915299562762,16.531974663639556,36.39753969012089,542.305354314291,3.021276595744681,1.1702127659574468,2.1702127659574466,2509.552465370067,2,Wide Enforcer
Ghana,André Ayew Pelé,3,38,27,6,3,0,1,3,2,2,0,46,67.12473611681071,43.23644735031576,11.472652580157948,40.43950465824785,499.9845213515173,5.652173913043479,1.2826086956521738,2.217391304347826,2329.638660113807,1,Pressing Disruptor
Switzerland,Fabian Rieder,2,38,30,3,3,1,0,0,0,4,0,41,79.11929254391637,13.562344739699356,17.48382390528276,27.70997849263461,633.9470767595069,6.365853658536586,1.3170731707317074,2.1951219512195124,2583.850813281269,2,Wide Enforcer
Canada,Richie Laryea,3,38,24,3,3,0,4,3,3,1,0,31,75.91612845851529,33.377419041049095,17.0003787908552,36.13174904074984,592.8885781483456,3.838709677419355,1.2258064516129032,2.064516129032258,2621.5223724068483,1,Pressing Disruptor
Ecuador,Jhegson Sebastián Méndez Carabalí,2,37,24,6,2,1,3,0,3,4,0,54,73.52035222981057,36.63555815969623,9.39141005116325,38.43468903966322,560.8746663238611,4.462962962962963,1.3333333333333333,2.537037037037037,2437.285274699001,1,Pressing Disruptor
Croatia,Lovro Majer,7,37,21,13,1,2,1,2,5,5,0,53,68.09836353674707,30.219274516337773,11.098939298453317,42.14538331080127,510.4153623995584,5.113207547169812,1.320754716981132,2.30188679245283,2628.136241888924,1,Pressing Disruptor
Japan,Takehiro Tomiyasu,3,37,13,2,5,3,7,6,3,0,0,52,77.25447539792805,24.775017253784483,12.287550196894031,39.32198824194464,452.90534322172914,2.5384615384615383,1.1923076923076923,2.1153846153846154,2226.776384225677,0,Deep Stopper
Brazil,Antony Matheus dos Santos,4,37,21,2,4,2,2,1,4,2,1,46,70.5773935826489,19.1037992839007,18.254896355383178,36.26719427142212,667.3121250828095,5.739130434782608,1.1304347826086956,1.934782608695652,2644.703580397345,2,Wide Enforcer
